date,leather_price
01/06/2019,35
01/07/2019,33
01/08/2019,36
01/09/2019,33
01/10/2019,36
01/11/2019,37
01/12/2019,40
01/01/2020,37
01/02/2020,40
01/03/2020,38
01/04/2020,40
01/05/2020,42
01/06/2020,42
01/07/2020,40
01/08/2020,41
01/09/2020,53
01/10/2020,51
01/11/2020,46
01/12/2020,49
01/01/2021,49
01/02/2021,51
01/03/2021,63
01/04/2021,68
01/05/2021,67
01/06/2021,68
01/07/2021,86
01/08/2021,85
01/09/2021,97
01/10/2021,94
01/11/2021,92
01/12/2021,103
01/01/2022,106
01/02/2022,118
01/03/2022,126
01/04/2022,128
01/05/2022,135
01/06/2022,158
01/07/2022,167
01/08/2022,176
01/09/2022,182
01/10/2022,187
01/11/2022,190
01/12/2022,195
01/01/2023,218
01/02/2023,231
01/03/2023,239
01/04/2023,246
01/05/2023,248
01/06/2023,253
01/07/2023,262
01/08/2023,262
01/09/2023,263
01/10/2023,262
01/11/2023,263
01/12/2023,271
01/01/2024,257
01/02/2024,267
01/03/2024,269
