date,BAL,YSL,GIV
2019-05-26,24,37,8
2019-06-02,24,36,9
2019-06-09,24,34,9
2019-06-16,23,33,9
2019-06-23,24,37,10
2019-06-30,24,35,9
2019-07-07,26,39,10
2019-07-14,25,35,9
2019-07-21,25,38,10
2019-07-28,25,39,10
2019-08-04,24,38,10
2019-08-11,25,38,9
2019-08-18,26,39,10
2019-08-25,22,36,10
2019-09-01,23,42,9
2019-09-08,24,41,10
2019-09-15,25,41,8
2019-09-22,22,43,10
2019-09-29,25,42,10
2019-10-06,23,39,9
2019-10-13,23,41,10
2019-10-20,24,43,9
2019-10-27,22,42,9
2019-11-03,22,43,11
2019-11-10,24,42,11
2019-11-17,24,47,10
2019-11-24,30,57,13
2019-12-01,28,48,10
2019-12-08,25,50,12
2019-12-15,29,55,11
2019-12-22,35,75,14
2019-12-29,32,57,12
2020-01-05,30,46,10
2020-01-12,27,44,11
2020-01-19,25,40,9
2020-01-26,23,37,8
2020-02-02,23,39,8
2020-02-09,23,41,9
2020-02-16,26,42,10
2020-02-23,23,41,9
2020-03-01,22,40,8
2020-03-08,19,33,8
2020-03-15,14,22,5
2020-03-22,14,21,6
2020-03-29,14,25,6
2020-04-05,17,26,7
2020-04-12,16,27,7
2020-04-19,18,29,8
2020-04-26,19,31,7
2020-05-03,20,33,6
2020-05-10,21,36,8
2020-05-17,20,36,7
2020-05-24,20,33,8
2020-05-31,21,34,8
2020-06-07,21,38,8
2020-06-14,21,38,9
2020-06-21,22,39,9
2020-06-28,24,44,11
2020-07-05,27,45,11
2020-07-12,24,48,10
2020-07-19,25,44,9
2020-07-26,24,45,10
2020-08-02,26,45,9
2020-08-09,26,46,10
2020-08-16,27,48,10
2020-08-23,24,47,8
2020-08-30,23,43,9
2020-09-06,22,48,9
2020-09-13,21,45,8
2020-09-20,24,43,10
2020-09-27,22,45,9
2020-10-04,21,46,8
2020-10-11,23,45,10
2020-10-18,22,47,7
2020-10-25,22,44,6
2020-11-01,21,37,7
2020-11-08,26,44,7
2020-11-15,24,51,7
2020-11-22,29,54,9
2020-11-29,23,51,8
2020-12-06,24,54,8
2020-12-13,23,54,8
2020-12-20,32,67,10
2020-12-27,34,70,13
2021-01-03,29,47,10
2021-01-10,24,45,8
2021-01-17,27,44,9
2021-01-24,24,42,8
2021-01-31,27,43,8
2021-02-07,22,42,7
2021-02-14,23,46,7
2021-02-21,24,45,7
2021-02-28,21,43,7
2021-03-07,23,44,7
2021-03-14,22,44,7
