date,qty,Google_imm,lvmh_stock_price,kering_stock_price,ftse_mib_price
2018-11-25,1051.0,,,,
2018-12-02,1158.918438550105,,252.5500030517578,384.0,19189.0
2018-12-09,1189.7522781358493,,249.5,395.29998779296875,18742.0
2018-12-16,1411.8132969260453,,251.9499969482422,404.3999938964844,18911.0
2018-12-23,1493.2653181724613,,253.4499969482422,396.1000061035156,18397.0
2018-12-30,1532.051994956469,,252.75,397.5,18324.0
2019-01-06,1550.9872229927562,,251.14999389648438,397.3999938964844,18832.0
2019-01-13,1474.480159074445,,258.29998779296875,405.8999938964844,19290.0
2019-01-20,1436.4512075377504,,253.39999389648438,410.0,19708.0
2019-01-27,1376.8979636851896,,261.1000061035156,421.20001220703125,19811.0
2019-02-03,1370.8624294785934,,284.6499938964844,446.20001220703125,19577.0
2019-02-10,1367.846873193686,,283.54998779296875,440.8999938964844,19352.0
2019-02-17,1407.6011139463633,,294.20001220703125,473.5,20212.0
2019-02-24,1451.4963327939572,,299.75,480.0,20263.0
2019-03-03,1479.8152743862618,,306.6000061035156,495.5,20695.0
2019-03-10,1533.2827168403671,,305.79998779296875,486.79998779296875,20484.0
2019-03-17,1532.426896679576,,318.6000061035156,496.29998779296875,21045.0
2019-03-24,1518.0095575500266,,313.45001220703125,492.20001220703125,21079.0
2019-03-31,1536.2891856188842,,327.8999938964844,511.20001220703125,21286.0
2019-04-07,1593.502337532098,,336.04998779296875,530.0999755859375,21759.0
2019-04-14,1614.0668562799663,,342.8999938964844,530.4000244140625,21858.0
2019-04-21,1626.4902960069533,,352.29998779296875,510.3999938964844,21957.0
2019-04-28,1493.8176936427074,,346.45001220703125,529.4000244140625,21738.0
2019-05-05,1464.9819072595599,,355.04998779296875,526.0,21763.0
2019-05-12,1464.797514603401,,333.54998779296875,507.1000061035156,20875.0
2019-05-19,1495.5501087451019,,340.8500061035156,522.0,21105.0
2019-05-26,1535.6728865417103,37.0,336.5,482.70001220703125,20376.0
2019-06-02,1569.6607106509184,36.0,338.6000061035156,465.95001220703125,19802.0
2019-06-09,1598.2248949174518,34.0,357.04998779296875,479.6000061035156,20361.0
2019-06-16,1597.694928316886,33.0,354.0,486.45001220703125,20612.0
2019-06-23,1588.0824131795887,37.0,368.29998779296875,516.2000122070312,21389.0
2019-06-30,1522.2356274651381,35.0,374.29998779296875,520.0999755859375,21235.0
2019-07-07,1531.237988337182,39.0,380.79998779296875,522.2000122070312,21986.0
2019-07-14,1411.8240992592678,35.0,384.0,522.2000122070312,22183.0
2019-07-21,1514.7146451234282,38.0,382.29998779296875,522.7000122070312,21641.0
2019-07-28,1588.3330785532755,39.0,385.6000061035156,473.25,21838.0
2019-08-04,1645.6556887469753,38.0,358.3999938964844,450.8999938964844,21047.0
2019-08-11,1674.3169938435124,38.0,364.3500061035156,454.6000061035156,20324.0
2019-08-18,1688.6476463917027,39.0,348.45001220703125,432.29998779296875,20323.0
2019-08-25,1695.8129726657783,36.0,355.5,426.0,20474.0
2019-09-01,1631.809446353309,42.0,362.3999938964844,440.3999938964844,21323.0
2019-09-08,1568.4738500401031,41.0,379.8999938964844,453.75,21947.0
2019-09-15,1575.5965890991622,41.0,382.0,468.6000061035156,22181.0
2019-09-22,1421.7252380784582,43.0,370.04998779296875,468.95001220703125,22123.0
2019-09-29,1478.5762178941911,42.0,360.1499938964844,464.75,21948.0
2019-10-06,1522.9617749252716,39.0,349.6000061035156,441.8999938964844,21470.0
2019-10-13,1515.865172211409,41.0,378.20001220703125,471.8500061035156,22165.0
2019-10-20,1520.0479036725446,41.0,375.04998779296875,469.6499938964844,22322.0
2019-10-27,1522.1392694031124,41.0,383.95001220703125,514.0,22609.0
2019-11-03,1445.5949605794628,43.0,389.25,515.0,22934.0
2019-11-10,1326.766470578628,43.0,403.0,519.5999755859375,23534.0
2019-11-17,1238.9532703467432,48.0,405.5,545.7999877929688,23589.0
2019-11-24,1195.046670230801,54.0,396.25,541.4000244140625,23260.0
2019-12-01,1146.2874609272847,49.0,407.29998779296875,546.7000122070312,23259.0
2019-12-08,1122.7494399308468,49.0,401.3500061035156,549.0999755859375,23183.0
2019-12-15,1076.845961114738,55.0,403.79998779296875,562.0,23329.0
2019-12-22,1053.8942217066835,68.0,410.5,580.0999755859375,24004.0
2019-12-29,1042.4183520026563,57.0,417.6000061035156,590.7000122070312,23758.0
2020-01-05,1038.633310250425,45.0,419.1000061035156,600.9000244140625,23702.0
2020-01-12,1036.7407893743093,44.0,423.6499938964844,592.0999755859375,24021.0
2020-01-19,1030.0551500252873,40.0,439.04998779296875,610.2000122070312,24141.0
2020-01-26,1054.6710225677407,39.0,416.29998779296875,573.2999877929688,23969.0
2020-02-02,1154.705024610456,38.0,395.29998779296875,555.0,23237.0
2020-02-09,1345.577727879568,39.0,413.95001220703125,565.7000122070312,24478.0
2020-02-16,1491.1058720918927,40.0,414.95001220703125,579.4000244140625,24867.0
2020-02-23,1568.161636461496,39.0,404.5,561.5999755859375,24773.0
2020-03-01,1619.6186110445028,40.0,370.8500061035156,505.79998779296875,21984.0
2020-03-08,1704.0511644211008,33.0,360.3500061035156,483.5,20800.0
2020-03-15,1746.2674411094,22.0,314.8999938964844,405.0,15954.0
